Titulo-Artista|Letra
Galileu-Fernandinho|"Deixou Sua glória
Foi por amor, foi por amor
E o Seu sangue derramou
Que grande amor Naquela via dolorosa, se entregou
Eu não mereço, mas Sua graça me alcançou Eu me rendo ao Seu amor
Eu me rendo ao Seu amor
Eu me rendo ao Seu amor
Eu me rendo, eu me rendo Deus Emanuel, Estrela da manhã
Cordeiro de Deus, Pão da vida
Príncipe da Paz, Grande El Shaddai
Santo de Israel, Luz do mundo Galileu
Jesus, Jesus
Galileu
Jesus, Jesus Galileu
Jesus, Jesus
Galileu
Jesus, Jesus Eu me rendo ao Seu amor
Eu me rendo ao Seu amor
Eu me rendo ao Seu amor
Eu me rendo, me rendo, me rendo
Hey! Deus Emanuel, Estrela do Amanhã
Cordeiro de Deus, Pão da Vida
Príncipe da Paz, Grande El Shaddai
Santo de Israel, Luz do mundo Galileu
Jesus, Jesus
Galileu
Jesus, Jesus Galileu
Jesus, Jesus
Galileu
Jesus, Jesus Ooh, oh, oh
Ooh, oh, oh
Ooh, oh, oh Ooh, oh, oh
Ooh, oh, oh
Ooh, oh, oh Ooh, oh, oh
Ooh, oh oh
Ooh, oh, oh Galileu
Jesus, Jesus
Galileu
Jesus, Jesus Galileu
Jesus, Jesus
Galileu
Jesus, Jesus"
Coração Radiante-Grupo Revelação|"O que mais quero é te dar um beijo
E o seu corpo acariciar
Você bem sabe que eu te desejo
Está escrito no meu olhar
O teu sorriso é um paraíso
Onde contigo eu queria estar
Ai, quem me dera se eu fosse o céu
Você seria o meu luar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar
Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar Meu coração está radiante
Bate feliz, acho que é amor
Quando te vejo chego a sonhar
Penso em você quase a todo instante
Seu jeito meigo me apaixonou
O que fazer pra te conquistar? O que mais quero é te dar um beijo
E o seu corpo acariciar
Você bem sabe que eu te desejo
Está escrito no meu olhar
O teu sorriso é um paraíso
Onde contigo eu queria estar
Ai, quem me dera se eu fosse o céu
Você seria o meu luar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar
Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar Meu coração está radiante
Bate feliz, acho que é amor
Quando te vejo chego a sonhar
Penso em você quase a todo instante
Seu jeito meigo me apaixonou
O que fazer pra te conquistar? O que mais quero é te dar um beijo
E o seu corpo acariciar
Você bem sabe que eu te desejo
Está escrito no meu olhar
O teu sorriso é um paraíso
Onde, contigo, eu queria estar
Ai, quem me dera se eu fosse o céu
Você seria o meu luar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar
Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar Eu te quero só pra mim
Como as ondas são do mar
Não dá pra viver assim
Querer sem poder te tocar"
Não Há Deus Maior-Comunidade de Nilópolis|"Não há Deus maior
Não há Deus melhor
Não há Deus tão grande
Como nosso Deus Não há Deus maior
Não há Deus melhor
Não há Deus tão grande
Como nosso Deus Criou o céu, criou a Terra
Criou o Sol e as estrelas
Tudo Ele fez, tudo criou
Tudo formou Para o Seu louvor
Para o Seu louvor
Para o Seu, para o Seu
Para o Seu louvor Não há Deus maior
Não há Deus melhor
Não há Deus tão grande
Como nosso Deus Criou o céu, criou a Terra
Criou o Sol e as estrelas
Tudo Ele fez, tudo criou
Tudo formou Para o Seu louvor
Para o Seu louvor
Para o Seu, para o Seu
Para o Seu louvor Se Eu colocar as minhas mãos
Sobre os enfermos
E eles serão curados
Se Eu colocar as minhas mãos
Sobre os enfermos
E eles serão curados Jesus Cristo tem poder
Jesus Cristo tem poder
Jesus Cristo tem poder
Pra curar a mim e a você
Pra curar a mim e a você
Pra curar a mim e a você Pra curar a mim e a você"
Total Eclipse Of The Heart-Bonnie Tyler|"(Turn around)
Every now and then I get a little bit lonely and you're never coming 'round
(Turn around)
Every now and then I get a little bit tired of listening to the sound of my tears (Turn around)
Every now and then I get a little bit nervous that the best of all the years have gone by
(Turn around)
Every now and then I get a little bit terrified and then I see the look in your eyes (Turn around, bright eyes)
Every now and then I fall apart
(Turn around, bright eyes)
Every now and then I fall apart (Turn around)
Every now and then I get a little bit restless and I dream of something wild
(Turn around)
Every now and then I get a little bit helpless and I'm lying like a child in your arms (Turn around)
Every now and then I get a little bit angry and I know I've got to get out and cry
(Turn around)
Every now and then I get a little bit terrified, but then I see the look in your eyes (Turn around, bright eyes)
Every now and then I fall apart
(Turn around, bright eyes)
Every now and then I fall apart And I need you now, tonight
And I need you more than ever
And if you only hold me tight
We'll be holding on forever And we'll only be making it right
'Cause we'll never be wrong
Together we can take it to the end of the line
Your love is like a shadow on me all of the time (all of the time) I don't know what to do and I'm always in the dark
We're living in a powder keg and giving off sparks I really need you tonight
Forever's gonna start tonight
Forever's gonna start tonight Once upon a time I was falling in love
Now I'm only falling apart
There's nothing I can do
A total eclipse of the heart Once upon a time there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart (Turn around, bright eyes)
(Turn around, bright eyes) (Turn around)
Every now and then I know you'll never be the boy you always wanted to be
(Turn around)
But every now and then I know you'll always be the only boy who wanted me the way that I am (Turn around)
Every now and then I know there's no one in the universe as magical and wondrous as you
(Turn around)
Every now and then I know there's nothing any better
There's nothing that I just wouldn't do (Turn around, bright eyes)
Every now and then I fall apart
(Turn around, bright eyes)
Every now and then I fall apart And I need you now, tonight (and I need you, and I need you)
And I need you more than ever
And if you only hold me tight (if you only)
We'll be holding on forever And we'll only be making it right (and we'll never)
'Cause we'll never be wrong
Together we can take it to the end of the line
Your love is like a shadow on me all of the time (all of the time) I don't know what to do, I'm always in the dark
Living in a powder keg and giving off sparks I really need you tonight
Forever's gonna start tonight
(Forever's gonna start tonight) Once upon a time I was falling in love
Now I'm only falling apart
There's nothing I can do
A total eclipse of the heart Once upon a time there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart A total eclipse of the heart
A total eclipse of the heart (Turn around, bright eyes)
(Turn around, bright eyes)
(Turn around)"
Menina da Bota (part. Belinha do Forró e Isadora)-Menina da Bota|"Eu vou cantar, eu vou cantar, eu vim aqui cantar arrocha
Vamos cantar com a Menina da Bota
Eu vou cantar, eu vou cantar, eu vim aqui cantar arrocha
Vamos cantar com a Menina da Bota Eu vou dançar, eu vou dançar, eu vim aqui dançar arrocha
Vamos dançar com a Menina da Bota
Eu vou dançar, eu vou dançar, eu vim aqui dançar arrocha
Vamos dançar com a Menina da Bota E pra cantar comigo, a Menina da Bota
Tô chegando, Belinha do Forró Eu vim cantar, eu vim dançar na casa da vovó
Eu encontrei com Belinha do Forró
E eu vim cantar e eu vim dançar na casa da vovó
Eu encontrei com Belinha do Forró Eu vim cantar, eu vim dançar na casa da vovó
Vamos dançar com Belinha do Forró
E eu vim cantar e eu vim dançar na casa da vovó
Vamos dançar com Belinha do Forró"
when the party's over-Billie Eilish|"Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothin' ever stops you leavin' Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer (call me back)
And I'll call you when the party's over Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that But nothin' is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that"
Desapareceu Um Povo-Shirley Carvalhaes|"Muito em breve, vai sair uma notícia
De um povo que desapareceu
Era um povo muito humilde que aqui muito sofreu
Aquele povo era o povo de Deus Onde está aquele povo barulhento?
Onde está, que não se vê nenhum irmão?
Alguém com voz de lamento
Vai dizer neste momento
Aquele povo foi embora pra Sião Onde está a juventude desta igreja?
E as irmãs do círculo de oração
Que a Deus tanto clamavam?
E as crianças que cantavam?
Elas também foram morar em Sião Onde está aquele povo barulhento?
Onde está, que não se vê nenhum irmão?
Alguém com voz de lamento
Vai dizer neste momento
Aquele povo foi-se embora pra Sião Depois deste grande acontecimento
Muitos crentes desviados vão voltar
Procurando os irmãos para reconciliação
Mas, infelizmente, não vão encontrar Onde está aquele povo barulhento?
Onde está, que não se vê nenhum irmão?
Alguém com voz de lamento
Vai dizer neste momento
Aquele povo foi embora pra Sião
Aquele povo foi embora pra Sião"
Quem Já Pisou No Santo Dos Santos-Deguimar Marques|"Eu me rasgo por inteiro
Faço tudo, mas vem novamente
Eu mergulho na mirra ardente
Mas peço que Tua presença aumente Eu me rasgo por inteiro
Faço tudo, mas vem novamente
Eu mergulho na mirra ardente
Mas peço que Tua presença aumente E se eu passar pelo fogo, não temerei
Na Tua fumaça de glória, eu entrarei
Longe do Santo dos Santos, não sei mais viver E se eu passar pelo fogo, não temerei
Na Tua fumaça de glória, eu entrarei
Longe do Santo dos Santos, não sei mais viver Quem já pisou no Santo dos Santos
Em outro lugar, não sabe viver
E onde estiver, clamar pela glória
A glória de Deus Quem já pisou no Santo dos Santos
Em outro lugar, não sabe viver
E onde estiver, clamar pela glória
A glória de Deus Once you have entered in the Holy of Holies
You can not dwell in an another place
Wherever you are, you cry for the glory
The light of His face Eu me rasgo por inteiro
Faço tudo, mas vem novamente
Eu mergulho na mirra ardente
Mas peço que Tua presença aumente E se eu passar pelo fogo, não temerei
Na Tua fumaça de glória, eu entrarei
Longe do Santo dos Santos, não sei mais viver E se eu passar pelo fogo, não temerei
Na Tua fumaça de glória, Senhor, eu entrarei
Longe do Santo dos Santos, não sei mais viver Quem já pisou no Santo dos Santos
Em outro lugar, não sabe viver
E onde estiver, clamar pela glória
A glória de Deus Once you have entered in the Holy of Holies
You can not dwell in an another place
Wherever you are, you cry for the glory
The light of His face Once you have entered in the Holy of Holies
You can not dwell in an another place
Wherever you are, you cry for the glory
The light of His face Glória, glória, glória, glória
Glória, glória, glória, glória
Santo, santo, santo, santo
Amém, amém, amém, amém"
Better Together-Jack Johnson|"There's no combination of words I could put on the back of a postcard
No song that I could sing but I can try for your heart
Our dreams and they are made out of real things
Like a shoebox of photographs with sepia-toned loving
Love is the answer at least for most of the questions in my heart
Why are we here? And where do we go? And how come it's so hard?
It's not always easy, and sometimes life can be deceiving
I'll tell you one thing, it's always better when we're together Hum, it's always better when we're together
Yeah, we'll look at the stars when we're together
Well, it's always better when we're together
Yeah, it's always better when we're together And all of these moments just might find their way into my dreams tonight
But I know that they'll be gone when the morning light sings
Or brings new things for tomorrow night you see
That they'll be gone too, too many things I have to do
But if all of these dreams might find their way into my day to day scene
I'd be under the impression I was somewhere in between
With only two, just me and you, not so many things we got to do
Or places we got to be, we'll sit beneath the mango tree now Yeah, it's always better when we're together
Hum, we're somewhere in between together
Well, it's always better when we're together
Yeah, it's always better when we're together I believe in memories they look so, so pretty when I sleep
And now when, when I wake up, you look so pretty sleeping next to me
But there is not enough time
And there is no song I could sing
And there is no combination of words I could say
But I will still tell you one thing
We're better together"
O Nome Dele-Sued Silva|"Nunca poderei retribuir
Nem um por cento desse grande amor
Lembro bem do que já fez por mim
Maravilhosa graça me alcançou Mesmo sendo Deus grande como é
Despiu de Sua glória e me encontrou
O autor da fé suportou a dor
Por mim se fez servo, infinito amor Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus
O nome Dele é Jesus Mesmo sendo Deus grande como é
Despiu de Sua glória e me encontrou
O autor da fé suportou a dor
Por mim se fez servo, infinito amor Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus Nome que está acima de todos os nomes
Jesus, Jesus
Quando Ele fala, a terra estremece
O nome Dele é Jesus
Nome que está acima de todos os nomes
Jesus, Jesus
Quando Ele fala, a terra estremece
O nome Dele é Jesus E toda língua confessará
Todo joelho se dobrará
E toda língua confessará
Todo joelho se dobrará
Adore o nome Dele, declare o nome dele
Aqui tudo é Dele, é tudo para Ele
Adore o nome Dele, declare o nome dele
Aqui tudo é Dele, é tudo para Ele Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus
O nome Dele é Jesus O nome Dele é Jesus Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus Seu nome é poder
E nada pode resistir ao nome Dele
O nome Dele é Jesus
A morte Ele venceu
E as trevas não suportam ouvir o nome Dele
O nome Dele é Jesus
O nome Dele é Jesus"
Yesterday-The Beatles|"Yesterday
All my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday Suddenly
I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly Why she had to go? I don't know
She wouldn't say
I said something wrong, now I long
For yesterday Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday Why she had to go? I don't know
She wouldn't say
I said something wrong, now I long
For yesterday Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday"
Harpy Hare-Yaelokre|"Harpy Hare
Where have you buried all your children?
Tell me so I say Harpy Hare
Where have you buried all your children?
Tell me so I say All the arrows that you've stolen
Split in half, now bum and broken
Like your heart that was so eager to be hid You can't keep them all caged
They will fight and run away
Mother, tell me so I say
(La-la-la, la-la-la, la-la-la) Harpy Hare
Where have you buried all your children?
Tell me so I say Harpy Hare
Where have you buried all your children?
Tell me so I say Forest walls and starry ceilings
Barren curtains that you're weaving
Like the stories that you keep inside your head She can't keep them all safe
They will die and be afraid
Mother, tell me so I say
(Mother, tell me so I say) Harpy Hare
Where have you buried all your children?
Tell me so I say Harpy Hare
Where have you buried all your children?
Tell me so I say Harpy Hare
Where have you buried all your children?
Tell me so I say Harpy Hare
Where have you buried all your children?
Tell me so I say (tell me so I say) She can't keep them all caged
They'll be far and fly away
Mother, tell me you will stay
We'll be far and fly away"
La Vie En Rose-Édith Piaf|"Des yeux qui font baisser les miens
Un rire qui se perd sur sa bouche
Voilà le portrait sans retouche
De l'homme auquel j'appartiens Quand il me prend dans ses bras
Qu'il me parle tout bas
Je vois la vie en rose
Il me dit des mots d'amour
Des mots de tous les jours
Et ça me fait quelque chose Il est entré dans mon cœur
Une part de bonheur
Donc je connais la cause C'est lui pour moi
Moi pour lui
Dans la vie
Il me l'a dit, l'a juré
Pour la vie Et dès que je l'aperçois
Alors je sens en moi
Mon coeur qui bat Des nuits d'amour à plus finir
Un grand bonheur qui prend sa place
Des ennuis des chagrins s'effacent
Heureux, heureux à mourir Quand il me prend dans ses bras
Qu'il me parle tout bas
Je vois la vie en rose
Il me dit des mots d'amour
Des mots de tous les jours
Et ça me fait quelque chose Il est entré dans mon cœur
Une part de bonheur
Donc je connais la cause C'est toi pour moi
Moi pour toi
Dans la vie
Tu me l'a dit, m'a juré
Pour la vie Et dès que je l'aperçois
Alors je sens en moi
Mon coeur qui bat"
Like a Stone-Audioslave|"On a cobweb afternoon
In a room full of emptiness
By a freeway, I confess
I was lost in the pages
Of a book full of death
Reading how we'll die alone
And if we're good, we'll lay to rest
Anywhere we wanna go In your house
I long to be
Room by room
Patiently
I'll wait for you there
Like a stone
I'll wait for you there
Alone And on my deathbed, I will pray
To the gods and the angels
Like a pagan, to anyone
Who will take me to heaven
To a place I recall
I was there so long ago
The sky was bruised, the wine was bled
And there you led me on In your house
I long to be
Room by room
Patiently
I'll wait for you there
Like a stone
I'll wait for you there
Alone
Alone And on I read
Until the day was gone
And I sat in regret
Of all the things I've done
For all that I've blessed
And all that I've wronged
In dreams until my death
I will wonder on In your house
I long to be
Room by room
Patiently
I'll wait for you there
Like a stone
I'll wait for you there
Alone
Alone"
Realidade Ou Fantasia-Henrique e Juliano|"Toda noite
Eu te ligo
Te pedindo pra sonhar comigo
E sonhando eu vou te encontrar também
E te encontro
E me entrego ao seu corpo bonito
Nitidamente, sua imagem vem E um beijo
Uma música
Insistente, despertou meu sono
Alguém tava me ligando, era você E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você
E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você E um beijo
Uma música
Insistente, despertou meu sono
Alguém tava me ligando, era você E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você
E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você
E tem sido você
Na realidade ou fantasia
Enquanto eu merecer, será você Será você"
Está Tudo Bem-Kellen Byanca|"Estão me perguntando se eu tô bem
E como andam as coisas por aqui
Sinceramente, Pai, não respondi ninguém
Na realidade tá tão difícil pra mim Jesus, não quero contar pra ninguém
As coisas que eu só conto pra Ti
Mas quando me perguntam se eu tô bem
Eu lembro que eu tô pra desistir E quando me perguntam se está tudo bem
Eu lembro o quanto está difícil pra poder lutar
E passa um filme aqui das noites sem dormir
Dos choros escondidos que ninguém pode escutar Mas, Pai, Tu sabe das feridas que eu carrego
De alguns confrontos que só Tu assistiu
E ninguém vê as marcas que eu levo
E quando me perguntam, eu respondo assim Eu tô bem
Porque tem um alguém que sempre fica aqui
Quando tudo só piora
É Ele quem me faz resistir Eu tô bem
Porque tem um alguém que não vai me deixar
E quando alguém me perguntar se tá tudo bem
Por mais que não está
Contigo eu sei que vai ficar E quando me perguntam se está tudo bem
Eu lembro o quanto está difícil pra poder lutar
E passa um filme aqui das noites sem dormir
Dos choros escondidos que ninguém pode escutar Mas, Pai, Tu sabe das feridas que eu carrego
De alguns confrontos que só Tu assistiu
E ninguém vê as marcas que eu levo
E quando me perguntam, eu respondo assim Eu tô bem
Porque tem um alguém que sempre fica aqui
Quando tudo só piora
É Ele quem me faz resistir Eu tô bem
Porque tem um alguém que não vai me deixar
E quando alguém me perguntar se tá tudo bem
Por mais que não está
Contigo eu sei que vai ficar É que a Tua presença me faz
Em meio as guerras ficar em paz
É que a Tua presença me faz
No deserto estar e ficar em paz É que a Tua presença me faz
Na tempestade estar e ficar em paz
É que a Tua presença me faz
Em qualquer momento ficar em paz Eu tô bem
Porque tem um alguém que sempre fica aqui
Quando tudo só piora
É Ele quem me faz resistir Eu tô bem
Porque tem um alguém que não vai me deixar
E quando alguém me perguntar se tá tudo bem
Por mais que não está
Contigo eu sei que vai ficar Contigo eu sei
Contigo eu sei que eu vou ficar bem, Jesus
Contigo eu sei que vou ficar"
Te Amarei, Senhor-Padre Zezinho|"Me chamaste para caminhar na vida contigo
Decidi para sempre seguir-Te, não voltar atrás
Me puseste uma brasa no peito e uma flecha na alma
É difícil, agora, viver sem lembrar-me de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Eu pensei muitas vezes calar e não dar nem resposta
Eu pensei na fuga esconder-me, ir longe de Ti
Mas tua força venceu e ao final eu fiquei seduzida
É difícil agora viver sem saudade de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Oh, Jesus, não me deixes jamais caminhar solitário
Pois conheces a minha fraqueza e o meu coração
Vem, ensina-me a viver a vida na Tua presença
No amor dos irmãos, na alegria, na paz, na união Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor
Eu só encontro a paz e a alegria
Bem perto de Ti Te amarei, Senhor, Te amarei, Senhor"
Recebi Um Novo Coração do Pai-Marcos Góes|"Recebi um novo coração do Pai
Coração regenerado
Coração transformado
Coração que é inspirado por Jesus Como fruto deste novo coração
Eu declaro a paz de cristo
Te abençoo meu irmão
Preciosa é a nossa comunhão Somos Corpo, assim, bem ajustados
Totalmente ligados, unidos
Vivendo em amor
Uma família sem qualquer falsidade
Vivendo a verdade
Expressando a glória do Senhor Uma família vivendo o compromisso
Do grande amor de Cristo
Eu preciso de ti, querido irmão
Precioso és para mim, querido irmão
Eu preciso de ti, querido irmão
Precioso és para mim, querido irmão Como fruto deste novo coração
Eu declaro a paz de cristo
Te abençoo meu irmão
Preciosa é a nossa comunhão Somos Corpo, assim, bem ajustados
Totalmente ligados, unidos
Vivendo em amor
Uma família sem qualquer falsidade
Vivendo a verdade
Expressando a glória do Senhor Uma família vivendo o compromisso
Do grande amor de Cristo
Eu preciso de ti, querido irmão
Precioso és para mim, querido irmão
Eu preciso de ti, querido irmão
Precioso és para mim, querido irmão"
Saudade de Casa-Jefferson & Suellen|"O Verbo se fez carne
Na terra desceu
Operou muitos milagres
Era mesmo filho de Deus
Morreu numa cruz, mas ressuscitou
Ele está vivo, vivo Mas quando foi, fez Sua promessa
Que viria nos buscar
E eu aguardo, estou com pressa
Quero ir para o meu lar
Sou Sua noiva apaixonada
Aguardo Sua chegada Volta logo Jesus, vem, me leva pra casa
O céu é o meu lar, o céu é minha morada
Mas volta logo Jesus, tenho saudade de casa
O céu é o meu lar, o céu é minha morada Mas quando foi, fez Sua promessa
Que viria nos buscar
E eu aguardo, estou com pressa
Quero ir para o meu lar
Sou Sua noiva apaixonada
Aguardo Sua chegada Volta logo Jesus, vem, me leva pra casa
O céu é o meu lar, o céu é minha morada
Mas volta logo Jesus, tenho saudade de casa
O céu é o meu lar, o céu é minha morada Oh, oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh, oh Maranata
Oh, oh, oh, oh Maranata
Oh, oh, oh, oh Maranata Mas volta logo Jesus, vem, me leva pra casa
O céu é o meu lar, o céu é minha morada
Mas volta logo Jesus, tenho saudade de casa
O céu é o meu lar, o céu é minha morada
O céu é o meu lar, o céu é minha morada"
Deus É Deus-Delino Marçal|"Minha fé não está firmada
Nas coisas que podes fazer
Eu aprendi a Te adorar pelo que és Dele vêm o sim e o amém
Somente Dele e mais ninguém
A Deus seja o louvor Se Deus fizer, Ele é Deus
Se não fizer, Ele é Deus
Se a porta abrir, Ele é Deus
Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus
Se curado eu for, Ele é Deus
Se tudo der certo, Ele é Deus
Mas se não der, continua sendo Deus Minha fé não está firmada
Nas coisas que podes fazer
Eu aprendi a Te adorar pelo que és Dele vêm o sim e o amém
Somente Dele e mais ninguém
A Deus seja o louvor Se Deus fizer, Ele é Deus
Se não fizer, Ele é Deus
Se a porta abrir, Ele é Deus
Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus
Se curado eu for, Ele é Deus
Se tudo der certo, Ele é Deus
Mas se não der, continua sendo Deus Não O adoro pelo que Ele faz
Eu O adoro pelo que Ele é
Haja o que houver
Sempre será Deus Não O adoro pelo que Ele faz
Eu O adoro pelo que Ele é
Haja o que houver
Sempre será Deus Se Deus fizer, Ele é Deus
Se não fizer, Ele é Deus
Se a porta abrir, Ele é Deus
Mas se fechar, continua sendo Deus Se a doença vier, Ele é Deus
Se curado eu for, Ele é Deus
Se tudo der certo, Ele é Deus
Mas se não der, continua sendo Deus Deus é Deus
Deus é Deus
Deus é Deus
Deus é Deus"
With Arms Wide Open-Creed|"Well I just heard the news today
It seems my life is gonna change
I close my eyes, begin to pray
Then tears of joy stream down my face With arms wide open
Under the sunlight
Welcome to this place
I'll show you everything
With arms wide open
With arms wide open Well I don't know if I'm ready
To be the man I have to be
I'll take a breath, I'll take her by my side
We stand in awe, we've created life With arms wide open
Under the sunlight
Welcome to this place
I'll show you everything
With arms wide open
Now everything has changed
I'll show you love
I'll show you everything
With arms wide open
Wide open If I had just one wish
Only one demand
I hope he's not like me
I hope he understands
That he can take this life
And hold it by the hand
And he can greet the world
With arms wide open With arms wide open
Under the sunlight
Welcome to this place
I'll show you everything
With arms wide open
Now everything has changed
I'll show you love
I'll show you everything
With arms wide open
With arms wide open"
Ultraviolence-Lana Del Rey|"He used to call me DN
That stood for Deadly Nightshade
'Cause I was filled with poison
But blessed with beauty and rage Jim told me that
He hit me and it felt like a kiss
Jim brought me back
Reminded me of when we were kids With his ultraviolence
Ultraviolence
Ultraviolence
Ultraviolence I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence He used to call me Poison
Like I was Poison Ivy
I could have died right there
'Cause he was right beside me Jim raised me up
He hurt me, but it felt like true love
Jim taught me that
Loving him was never enough With his ultraviolence
Ultraviolence
Ultraviolence
Ultraviolence I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence We could go back to New York
Loving you was really hard
We could go back to Woodstock
Where they don't know who we are Heaven is on Earth
I would do anything for you, baby
Blessed is this union
Crying tears of gold like lemonade I love you the first time
I love you the last time
Yo soy la princesa
¿Comprende mis white lines? 'Cause I'm your jazz singer
And you're my cult leader
I love you forever
I love you forever With his ultraviolence (lay me down tonight)
Ultraviolence (in my linen and curls)
Ultraviolence (lay me down tonight)
Ultraviolence (Riviera Girls) I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence"
Garota de Ipanema-Tom Jobim|"Olha que coisa mais linda, mais cheia de graça
É ela, menina, que vem e que passa
Num doce balanço a caminho do mar Moça do corpo dourado, do Sol de Ipanema
O seu balançado é mais que um poema
É a coisa mais linda que eu já vi passar Ah, por que estou tão sozinho?
Ah, por que tudo é tão triste?
Ah, a beleza que existe
A beleza que não é só minha
Que também passa sozinha Ah, se ela soubesse que quando ela passa
O mundo inteirinho se enche de graça
E fica mais lindo por causa do amor Ah, por que estou tão sozinho?
Ah, por que tudo é tão triste?
Ah, a beleza que existe
A beleza que não é só minha
Que também passa sozinha Ah, se ela soubesse que quando ela passa
O mundo inteirinho se enche de graça
E fica mais lindo por causa do amor
Por causa do amor
Por causa do amor"
Simple Man-Lynyrd Skynyrd|"Mama told me when I was young
Come sit beside me, my only son
And listen closely to what I say
And if you do this, it'll help you some sunny day
Oh, yeah (Be a simple man) Oh, take your time, don't live too fast
Troubles will come and they will pass
Go find a woman and you'll find love
And don't forget, son, there is someone up above And be a simple kind of man
Oh, be something you love and understand
Baby, be a simple kind of man
Oh, won't you do this for me, son
If you can? Forget your lust for the rich man's gold
All that you need is in your soul
And you can do this, oh, baby, if you try
All that I want for you, my son
Is to be satisfied And be a simple kind of man
Oh, be something you love and understand
Baby, be a simple kind of man
Oh, won't you do this for me, son
If you can? (Oh, yes, I will) Boy, don't you worry, you'll find yourself
Follow your heart and nothing else
And you can do this, oh, baby, if you try
All that I want for you, my son
Is to be satisfied And be a simple kind of man
Oh, be something you love and understand
Baby, be a simple kind of man
Oh, won't you do this for me, son
If you can? Baby, be a simple, be a simple man
Oh, be something you love and understand
Baby, be a simple kind of man"
